experimento,view,IoU,Dice,Precision,Recall,ROI_PA
2-simple-simple,0,0.9979144422380329,0.9989561325961333,0.9984325236369446,0.9994802910370193,0.9984566533746861
2-simple-simple,1,0.9989687344551885,0.9994841012132726,0.9993324675639921,0.9996357808857809,0.9993757344300822
2-simple-alta,0,0.9995942793386753,0.999797098508674,0.9999765840865452,0.9996176773508941,0.9996180991620214
2-simple-alta,1,0.933984409999104,0.9658655004354836,0.940150435613918,0.9930268447425077,0.973016524082972
2-alta-alta,0,0.9290593366801086,0.9632252559726963,0.9503165196309515,0.9764895162964501,0.968431846480627
2-alta-alta,1,0.39290376005277267,0.5641506201948752,0.39863296546813815,0.9647115583430974,0.6805957585066162
5-simple,0,0.945921616192245,0.9722093719717371,0.9479966951880798,0.9976912928759895,0.9576279995248278
5-simple,1,0.897273847978403,0.9458559173568674,0.9999826089981044,0.8972878499422615,0.9030428891245434
5-simple,2,0.9220522274806929,0.9594455491870394,0.9256421252200605,0.9958114801864801,0.9489366089313067
5-simple,3,0.8217712928401765,0.9021673533553372,0.8263700266157101,0.9932736161695706,0.9035619858989424
5-simple,4,0.9175967677128444,0.9570278623355005,0.9237519522691267,0.9927907257577587,0.945630081300813
5-media,0,0.8038062610431476,0.8912334749057845,0.8631452407160651,0.9212112780560193,0.8925892013232514
5-media,1,0.8326080177871775,0.9086591455520622,0.8790004007557107,0.9403892385196074,0.9159107006647053
5-media,2,0.8499106529209622,0.9188667048097429,0.9096138286134609,0.9283097618833138,0.9200237313957577
5-media,3,0.7480540687653089,0.8558706302416341,0.7912220772242267,0.932023691111312,0.8974627835538752
5-media,4,0.7063044144025901,0.8278762083023512,0.7735876179979875,0.8903595852636224,0.851289284026465
5-alta,0,0.7221078560746019,0.8386325554783604,0.835423197492163,0.8418666666666667,0.8905140860692103
5-alta,1,0.7383617342043949,0.8494914719718273,0.7862679596536178,0.923771600586812,0.8995967741935483
5-alta,2,0.6940733772342427,0.8194135939582408,0.8094281663516069,0.8296484672341015,0.8694540513833993
5-alta,3,0.5427264666075512,0.7035939012584704,0.646546451935729,0.7716826295649096,0.8184659090909091
5-alta,4,0.35866782069313713,0.5279698469787256,0.42932377889534007,0.6854710869115721,0.7803421442687747
5-2simple-2media-1alta,0,0.9565928259525851,0.9778149170989208,0.9974013014282447,0.9589829695370592,0.9676736778801536
5-2simple-2media-1alta,1,0.9343861781965258,0.9660802881332374,0.9669041599632269,0.9652578191039729,0.9585523983931947
5-2simple-2media-1alta,2,0.8586902301717381,0.923973469309512,0.9167262602133195,0.9313361775799172,0.9267855033081286
5-2simple-2media-1alta,3,0.8161768112808315,0.8987856316756242,0.8362079878473321,0.9714868740348555,0.9121130671077504
5-2simple-2media-1alta,4,0.6902331827615675,0.8167313123433516,0.701077588879382,0.9780811016538647,0.8136530552291422
10-5simple-5media,0,0.900052399712772,0.9473974505638176,0.968689949035007,0.9270208683137443,0.9249544626593806
10-5simple-5media,1,0.7668353173063492,0.8680325888837649,0.9929462123571909,0.7710355482038638,0.8148538400867593
10-5simple-5media,2,0.818456930708514,0.9001664178976444,0.8508968246245662,0.9554924242424242,0.8921875
10-5simple-5media,3,0.7090810222947254,0.8297804645243398,0.7173060365445326,0.984086360206057,0.8480113636363636
10-5simple-5media,4,0.763088376560999,0.8656269154804876,0.888212647548378,0.8441613331723222,0.8659646739130434
10-5simple-5media,5,0.8133181330472103,0.8970495780356654,0.8600462352323817,0.9373802015705187,0.9150036638983878
10-5simple-5media,6,0.7198160955067032,0.8370849620344162,0.8191250824357001,0.8558500620147916,0.8656373517786561
10-5simple-5media,7,0.7273626144879267,0.8421655168258367,0.8449656923495451,0.8393838392937574,0.8705780632411068
10-5simple-5media,8,0.659162456425928,0.7945725313069796,0.6727161596690018,0.9703408988154444,0.8361073369565217
10-5simple-5media,9,0.5290392659871964,0.6919891172914148,0.5875211744776963,0.8416427678505772,0.6990489130434783
10-5media-5alta,0,0.793498380379454,0.8848609946461975,0.9248297714555384,0.848203796450875,0.8945534026465028
10-5media-5alta,1,0.6696776923992541,0.8021640289593334,0.830912880093208,0.7753380188953711,0.8160716389772593
10-5media-5alta,2,0.7292956126417265,0.8434597385320738,0.892394564434242,0.7996126475092334,0.8540214437618148
10-5media-5alta,3,0.718756545416463,0.836368067755989,0.7592698441965521,0.9308933899990958,0.8810181356332704
10-5media-5alta,4,0.44896324158440043,0.6197027346166101,0.632058879755305,0.607820427972645,0.7003485349716446
10-5media-5alta,5,0.480311736718011,0.648933227784719,0.606427922066347,0.6978461538461539,0.7281944116257089
10-5media-5alta,6,0.6885927004200215,0.8155817566293406,0.7713421884023508,0.8652047173585841,0.8483503662570888
10-5media-5alta,7,0.5693509846466533,0.725587826071738,0.7341384378375507,0.7172341014462666,0.7684383861058601
10-5media-5alta,8,0.49402499467874844,0.6613343102535922,0.6124125972973482,0.7187506912340463,0.7542533081285444
10-5media-5alta,9,0.31509675701758766,0.47919935219393694,0.37860370266703985,0.6525949410710593,0.6960509215500945
2-mikey-puma,0,0.9836435847683725,0.9917543578104343,0.9865298365640441,0.9970345103100704,0.9920540238011076
2-mikey-puma,1,0.9832245345831241,0.9915413181289621,0.989148128052089,0.9939461166782605,0.9934466724789306
3-heroes,0,0.8661069283478555,0.9282500538322925,0.8925722505557735,0.9668988313068114,0.953754565376187
3-heroes,1,0.8844621513944223,0.9386892177589852,0.9485417053687535,0.9290393013100436,0.9557926829268293
3-heroes,2,0.9015476821313063,0.948225164799262,0.9226899556785667,0.9752139624058664,0.9603216684340756
3-bunny-teddy-duck,0,0.9656038193241973,0.9825009595842011,0.9707787766876811,0.9945096940205345,0.9795754994124559
3-bunny-teddy-duck,1,0.9796622441808464,0.9897266536860336,0.9869238278107334,0.9925454447381197,0.9858961483931947
3-bunny-teddy-duck,2,0.979870047139763,0.9898326898326898,0.9855546883191016,0.9941479923383354,0.9872701970262946
3-mikey-puma-heart,0,0.9693088882897457,0.9844152880775813,0.9746961276038136,0.9943302295565594,0.9849107458465889
3-mikey-puma-heart,1,0.9437957118077288,0.9710852905730504,0.9507836425869213,0.9922728383688356,0.977225627871252
3-mikey-puma-heart,2,0.9847709239825954,0.9923270359146302,0.9908044250351407,0.9938543337172132,0.9895689522932966
